,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speeds
0,bredasdorp,0,ZA,1592411694,72,-34.53,20.04,60.80,2.68
1,busselton,41,AU,1592411694,50,-33.65,115.33,57.99,20.80
2,broken hill,0,AU,1592411694,66,-31.95,141.43,48.20,6.93
3,mercedes,67,AR,1592411694,63,-34.65,-59.43,78.01,21.00
4,hasaki,75,JP,1592411694,88,35.73,140.83,66.20,3.36
5,ushuaia,40,AR,1592411694,69,-54.8,-68.3,39.20,3.36
6,mahebourg,75,MU,1592411695,100,-20.41,57.7,68.00,18.34
7,nakonde,5,ZM,1592411695,71,-9.34,32.74,55.35,9.31
8,rincon,90,US,1592411695,64,32.3,-81.24,70.00,10.29
9,georgetown,20,MY,1592411598,88,5.41,100.34,82.40,5.82
10,ishigaki,90,JP,1592411695,84,24.34,124.16,83.84,20.02
11,clyde river,90,CA,1592411695,73,70.47,-68.59,35.60,10.29
12,kindu,2,CD,1592411696,52,-2.95,25.95,75.22,1.23
13,castro,76,BR,1592411517,62,-24.79,-50.01,69.33,10.07
14,majene,81,ID,1592411696,84,-3.54,118.97,79.07,16.46
15,mongo,99,TD,1592411696,54,12.18,18.69,83.52,8.01
16,qaanaaq,52,GL,1592411696,92,77.48,-69.36,33.15,4.81
17,cabo san lucas,5,MX,1592411550,48,22.89,-109.91,88.00,6.93
18,carnarvon,90,AU,1592411696,88,-24.87,113.63,69.80,10.29
19,kapaa,20,US,1592411696,78,22.08,-159.32,75.20,12.75
20,kodinsk,2,RU,1592411524,57,58.69,99.18,49.39,2.08
21,longyearbyen,20,SJ,1592411697,77,78.22,15.64,39.20,8.05
22,witbank,78,ZA,1592411585,82,-25.87,29.23,43.03,13.24
23,pierre,1,US,1592411697,51,44.37,-100.35,84.99,21.92
24,new norfolk,0,AU,1592411697,89,-42.78,147.06,35.01,2.59
25,umba,11,RU,1592411697,53,66.69,34.34,57.27,6.06
26,carauari,3,BR,1592411698,44,-4.88,-66.9,92.17,4.12
27,vaini,20,TO,1592411698,78,-21.2,-175.2,71.60,10.29
28,provideniya,1,RU,1592411698,57,64.38,-173.3,54.50,3.13
29,leningradskiy,81,RU,1592411698,63,69.38,178.42,44.55,8.86
30,butaritari,8,KI,1592411698,77,3.07,172.79,82.80,15.66
31,barrow,75,US,1592411698,79,71.29,-156.79,37.40,12.75
32,arraial do cabo,40,BR,1592411698,57,-22.97,-42.03,77.00,16.11
33,bako,44,ET,1592411698,91,5.78,36.57,64.06,3.04
34,rikitea,59,PF,1592411699,81,-23.12,-134.97,75.18,16.58
35,mataura,96,NZ,1592411699,83,-46.19,168.86,39.00,3.00
36,dingle,100,PH,1592411699,80,11.0,122.67,78.06,2.86
37,chuy,100,UY,1592411699,67,-33.7,-53.46,72.14,14.43
38,praia,4,CV,1592411454,62,14.92,-23.51,86.00,4.70
39,manbij,0,SY,1592411699,37,36.53,37.95,84.20,18.34
40,punta arenas,0,CL,1592411683,76,-53.15,-70.92,35.60,8.05
41,broome,0,US,1592411700,46,42.25,-75.83,79.00,1.01
42,billund,61,DK,1592411700,68,55.73,9.11,73.40,8.05
43,hermanus,0,ZA,1592411700,78,-34.42,19.23,53.01,4.18
44,port alfred,0,ZA,1592411700,86,-33.59,26.89,57.00,4.00
45,pallasovka,0,RU,1592411700,45,50.05,46.88,73.36,9.06
46,takoradi,89,GH,1592411585,83,4.88,-1.76,79.07,14.36
47,bilma,1,NE,1592411701,9,18.69,12.92,99.66,1.86
48,hilo,40,US,1592411578,83,19.73,-155.09,69.80,5.82
49,crib point,0,AU,1592411701,87,-38.35,145.2,41.00,1.99
50,yar-sale,71,RU,1592411701,62,66.83,70.83,43.41,12.57
51,albany,0,US,1592411701,31,42.6,-73.97,84.00,1.99
52,areka,74,ET,1592411701,85,7.07,37.7,63.50,3.44
53,kamenka,0,RU,1592411701,68,51.32,42.77,68.50,6.08
54,richards bay,100,ZA,1592411702,78,-28.78,32.04,61.74,4.65
55,kisangani,95,CD,1592411702,63,0.52,25.2,78.91,1.41
56,sun valley,20,US,1592411620,35,39.6,-119.78,55.99,10.29
57,katsuura,75,JP,1592411702,83,35.13,140.3,71.60,6.93
58,atuona,51,PF,1592411702,72,-9.8,-139.03,80.40,15.59
59,jatiroto,79,ID,1592411702,87,-7.88,111.12,73.51,3.47
60,tiksi,100,RU,1592411703,93,71.69,128.87,47.80,3.31
61,bonthe,78,SL,1592411703,76,7.53,-12.51,83.88,12.10
62,east london,0,ZA,1592411703,72,-33.02,27.91,64.00,14.83
63,port blair,100,IN,1592411703,81,11.67,92.75,83.30,10.36
64,pitimbu,40,BR,1592411703,70,-7.47,-34.81,84.20,20.80
65,hithadhoo,41,MV,1592411704,73,-0.6,73.08,84.69,6.73
66,buchanan,75,LR,1592411704,83,5.88,-10.05,84.20,11.41
67,la ronge,90,CA,1592411704,76,55.1,-105.28,48.20,17.22
68,tuktoyaktuk,90,CA,1592411704,87,69.45,-133.04,46.40,10.29
69,akonolinga,92,CM,1592411704,94,3.77,12.25,72.99,2.01
70,le port,40,RE,1592411704,68,-20.94,55.29,71.60,3.36
71,bluff,46,NZ,1592411704,83,-46.6,168.33,39.00,3.00
72,novoagansk,100,RU,1592411705,90,61.94,76.66,45.23,10.80
73,narsaq,75,GL,1592411705,61,60.92,-46.05,46.40,6.93
74,port elizabeth,0,ZA,1592411705,82,-33.92,25.57,60.80,6.93
75,ribeira grande,75,PT,1592411705,64,38.52,-28.7,71.60,10.29
76,camacupa,0,AO,1592411705,46,-12.02,17.48,60.53,2.98
77,saskylakh,5,RU,1592411705,58,71.92,114.08,54.19,9.82
78,ponta do sol,40,PT,1592411706,78,32.67,-17.1,72.00,11.41
79,port-cartier,75,CA,1592411706,55,50.03,-66.87,68.00,3.36
80,san patricio,20,MX,1592411706,74,19.22,-104.7,86.00,6.93
81,half moon bay,5,US,1592411706,49,37.46,-122.43,69.01,4.70
82,talaya,100,RU,1592411706,81,61.38,152.75,53.94,0.56
83,perelyub,0,RU,1592411706,72,51.87,50.37,71.02,6.08
84,ilulissat,62,GL,1592411707,76,69.22,-51.1,37.94,4.79
85,mkushi,83,ZM,1592411707,60,-13.62,29.39,55.90,5.39
86,hofn,0,IS,1592411707,63,64.25,-15.21,50.09,6.76
87,kavieng,62,PG,1592411707,73,-2.57,150.8,82.47,4.94
88,kaitangata,94,NZ,1592411707,81,-46.28,169.85,44.01,4.00
